PCR,DATABASE_VERSION,COMPANY_CODE,ITEM_CODE,ITEM_NAME,UNIT_PROCESS_ID,CONVERSION_FACTOR
CONS,ecoinvent-v3.11,ZG,12318,外购中混废,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,ZG,14600,硅石,beba5da8-0617-4773-8273-2feb0f7d2536,1.0000000000
CONS,ecoinvent-v3.11,ZG,03055,,b4516042-b924-4f37-8538-9c80d43bc509,1.0000000000
CONS,ecoinvent-v3.11,ZG,1442-1,,7d9955a9-3517-4500-a69b-2b4f8c023403,1.0000000000
CONS,ecoinvent-v3.11,TA,103B0,,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,ZG,59090,,708ab0fb-6b9a-4261-b550-9ff3bca1ee44,1.0000000000
CONS,ecoinvent-v3.11,TA,1421,,46dcfaeb-e106-4e4a-aba1-f310431cd901,1.0000000000
CONS,ecoinvent-v3.11,TA,1465,,96be24b0-4bf5-4acd-a549-9f7f7120ae99,1.0000000000
CONS,ecoinvent-v3.11,ZG,05025,,be7ed2d3-e5ed-4cf3-985e-095c1f7bc7db,1.0000000000
CONS,ecoinvent-v3.11,ZG,125F7,主原料硅钙铁,7e3dc6a9-41a5-4fd4-99ff-d7c8b18b14d8,1.0000000000
CONS,ecoinvent-v3.11,ZG,FBSMGO,,d0357c0e-e740-4de9-9d5f-2d59f7ab871b,1.0000000000
CONS,ecoinvent-v3.11,ZG,FENI,,02a106a3-90eb-4623-a8fb-afe452806a6c,1.0000000000
CONS,ecoinvent-v3.11,ZG,ZNPAN01,,db86395e-b827-4339-a1bb-d139d149ef54,1.0000000000
CONS,ecoinvent-v3.11,TA,HCRT,,2fcac100-8d50-42d6-a085-04862c21a14e,1.0000000000
CONS,ecoinvent-v3.11,TA,12308,高合金废钢,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,ZG,64300,工作辊,b49cc63c-6081-4d61-ae9c-c7e93b3a0b00,1.0000000000
CONS,ecoinvent-v3.11,TA,40813,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,60186,,d0569db2-b32e-4287-ad1b-d4cbb2824b26,1.0000000000
CONS,ecoinvent-v3.11,TA,D0751,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,TA,16104,,a671c59a-5855-4cbd-b2c8-3b4dc1a9a3be,1.0000000000
CONS,ecoinvent-v3.11,TA,59091,,708ab0fb-6b9a-4261-b550-9ff3bca1ee44,1.0000000000
CONS,ecoinvent-v3.11,TA,XS16,,7e3dc6a9-41a5-4fd4-99ff-d7c8b18b14d8,1.0000000000
CONS,ecoinvent-v3.11,ZG,101B8,主原料筛下粉-巴芬兰块矿筛下粉,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,TA,12516,高碳铬铁,2fcac100-8d50-42d6-a085-04862c21a14e,1.0000000000
CONS,ecoinvent-v3.11,TA,14610,萤石,568d7ba2-a2cb-463c-95c5-220853706597,1.0000000000
CONS,ecoinvent-v3.11,TA,10407,球团矿-萨马科球团矿,b1709f4d-88e0-40ce-bc41-8e4bc0351b6a,1.0000000000
CONS,ecoinvent-v3.11,TA,60100,进口锰矿,27c18082-3f65-4c3c-9fa4-b81f94a5f28a,1.0000000000
CONS,ecoinvent-v3.11,TA,FS48,,7e3dc6a9-41a5-4fd4-99ff-d7c8b18b14d8,1.0000000000
