IMPACT_CATEGORY_ID,IMPACT_METHOD_ID,IMPACT_CATEGORY_NAME,IMPACT_CATEGORY_NAME_IN_METHOD
b82da458-2540-4883-a7d6-7493ea7c2e6e,4774e3fa-dbf0-4ba1-b15d-9ff90110f950,"energy resources: renewable, water",
65fff9e1-2a4a-4e18-9612-8149b8bcaebe,1bdce405-4884-4dea-ba55-397eba6ed51e,climate change: fossil,Climate change-Fossil
ddeea92f-d43c-40b1-91ca-533b3d47d506,208ef1bf-6c80-401e-b773-54f0960c09d9,eutrophication: freshwater no LT,"Eutrophication, freshwater"
c249af73-a179-4488-b88f-bbfb3ad2405f,f1d1c1a0-8ecf-441c-8576-a18d463df41b,climate change: fossil,Climate change-Fossil
22bd24af-f055-4fef-bb21-2487355e635b,f1d1c1a0-8ecf-441c-8576-a18d463df41b,human toxicity: carcinogenic,"Human toxicity, cancer"
a865f3ca-269f-402e-9b42-2cdc9f414d06,f1d1c1a0-8ecf-441c-8576-a18d463df41b,photochemical oxidant formation: human health,Photochemical ozone formation - human health
c0d428d3-e353-4df7-8712-874cccdfc950,78594638-6ea2-4bd2-b8ca-371494d952a7,"human toxicity: non-carcinogenic, organics no LT","Human toxicity, non-cancer_organics"
63c314cd-5b68-49cf-8828-174dbd1fa91a,78594638-6ea2-4bd2-b8ca-371494d952a7,water use no LT,Water use
756cd412-3b5b-4a55-99a4-32bbdde57692,ac3b6c62-8053-4725-9756-07064cfcc810,total no LT,
0dfe225e-e29d-431d-9774-76f3c79b13a3,6aa69c4d-9315-4ec7-802b-22e5ce740ea4,land use,Land use
2bc24d27-d25d-4523-b5ff-9e3c6503a7b7,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,climate change no LT,Global warming
44e0e611-508c-43ce-9ca7-709a9e93bf02,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,emissions to air no LT,Heavy metals into air
518f6a64-ea01-4b25-b514-1a86bf3ca3e5,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,emissions to water no LT,Heavy metals into water
4b4c8928-034b-4458-9074-1b02ccebc4d5,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,emissions to water no LT,Water pollutants
001d6c71-5b55-45af-b3d5-8aa7bd36dcc3,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,water use no LT,"Water resources, evaporated"
2d584449-36c0-4177-9aa2-f1fa42e6bcff,167c6bac-650c-4413-adfe-9f93b2b22488,climate change: total (excl. biogenic CO2),climate change
2670298b-864d-43b7-9162-60bab8ee6fc0,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
9b5a86f7-106e-4a54-b9bd-52c0b73cfe2a,25583383-5a50-4fbf-9850-c9f2d57607b5,resources,
07ccb29e-c0f8-40e5-9e99-5853892b0bf8,25583383-5a50-4fbf-9850-c9f2d57607b5,resources,
00f57142-bb24-48ad-b0f2-7e3aff8fef11,87a57579-d6c4-477c-a327-f863804a15aa,total: human health,
0a43e0e2-3fe1-4191-8091-ea315a9a57bc,b42b5d7d-371c-4c00-a601-cf9572670e00,human health no LT,
