IMPACT_INDICATOR_ID,IMPACT_CATEGORY_ID,IMPACT_INDICATOR_NAME,IMPACT_INDICATOR_CNAME,UNIT_NAME,IMPACT_INDICATOR_NAME_IN_METHOD,UNIT_NAME_IN_METHOD,RESOURCES_EMISSIONS_TOTAL,MAIN_IMPACT_DAMAGE_CATEGORY,INVENTORY_MIDPOINT_ENDPOINT_AOP,AREA_OF_PROTECTION,USED_IN_EN15804
a731d4ee-5daa-44c2-9254-3a619bc5c328,12323275-9349-4178-bf82-b9eda9651685,abiotic depletion potential (ADP): fossil fuels,,MJ,abiotic depletion (fossil fuels),MJ,resources,energy resources,midpoint,,false
f9a48cde-8ca6-426a-8b6c-d55e529566f8,73a3fb30-597d-4995-82fa-f1320caed981,abiotic depletion potential (ADP): elements (ultimate reserves),,kg Sb-Eq,"abiotic depletion (elements, ultimate ultimate reserves)",kg antimony eq.,resources,material resources: metals/minerals,midpoint,,false
48d5358a-c607-46b3-92b4-8bd21c9c2500,ff8a287e-675b-4fa9-9ee8-3e7629a237cd,terrestrial ecotoxicity (TETP inf) no LT,,"kg 1,4-DCB-Eq",Terrestrial ecotoxicity (TETP inf),"kg 1,4-dichlorobenzene eq.",emissions,ecotoxicity,midpoint,,false
7f6a3ebd-7d54-4f1a-b013-e6c84f7e90bd,2fc38b3d-c003-456b-a600-094e40bdea11,ozone layer depletion (ODP steady state) no LT,,kg CFC-11-Eq,ozone layer depletion (ODP steady state),kg CFC-11 eq.,emissions,ozone depletion,midpoint,,false
00c00f7c-4beb-4f00-b493-385f4f86de11,5419a42f-7940-491e-bdcf-bb0bd057bc63,energy content (HHV),,MJ-Eq,,,resources,energy resources,inventory indicator,,false
28c1148d-9b84-4f6d-8a93-03d1d536c9b3,2c218c32-1d71-4662-9cab-1a2093ffd938,global warming potential (GWP100),,kg CO2-Eq,Radiative forcing as Global Warming Potential (GWP100),kg CO2 eq.,emissions,climate change,midpoint,,false
f4b9590f-8104-4485-8a4a-bfff0bb7fa00,74ca3998-8cb6-4d57-874f-0f9a11e4b5e4,monetary impact value,,EUR 2018,,,total,total,(endpoint),,false
d19f840f-ff36-4061-9db9-ae5daa095ce8,46c65ed7-82a8-4993-b3ba-28e5efdcd4b8,monetary impact value no LT,,EUR 2018,,,emissions,emissions to soil,(midpoint),,false
05c6aa82-da5c-4f82-bfd7-9ff901111711,ad4f0abd-bf73-4280-83f3-9ff901111711,global hectares,,m2a,,,resources,land use,midpoint,,false
7d3f4f2a-7a6d-469a-a670-cc53f3803698,97adbcb1-ccd5-4830-9f0f-8cccda3b8891,ozone depletion,,UBP,,UBP (eco-points per unit of quantity),emissions,ozone depletion,(midpoint),,false
