IMPACT_METHOD_ID,IMPACT_METHOD_NAME,IMPACT_METHOD_VERSION,IS_CURRENT,ECOINVENT_DOCUMENTATION,FURTHER_DOCUMENTATION,CHARACTERIZATION_FACTOR_SOURCE_URL
dccd97fd-bfe2-4ff9-8616-50a835ddc2f0,"ReCiPe 2016 v1.03, endpoint (H)",2016 v1.03 (SimaPro),true,latest implementation report,https://www.rivm.nl/en/life-cycle-assessment-lca/downloads,https://www.rivm.nl/documenten/recipe2016cfsv1120180117
7c75c405-5084-429a-9edf-3f1d1fefad82,TRACI v2.1,v2.1,true,latest implementation report,https://www.epa.gov/chemical-research/tool-reduction-and-assessment-chemicals-and-other-environmental-impacts-traci,see link to documentation
208ef1bf-6c80-401e-b773-54f0960c09d9,EF v3.0 no LT,v3.0,false,latest implementation report,https://eplca.jrc.ec.europa.eu/LCDN/EF_archive.xhtml,see link to documentation
e57693cf-ed07-416c-8831-58f044f1bd76,IPCC 2021 no LT,2021,true,latest implementation report,https://www.ipcc.ch/report/ar6/wg1/,"https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07.pdf
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter_07_Supplementary_Material.pdf 
https://github.com/chrisroadmap/ar6/blob/main/data_output/7sm/metrics_su"
1b75e464-5938-4fbb-abc6-c15790d99ea7,"ReCiPe 2016 v1.03, midpoint (I) no LT",2016 v1.03 (SimaPro),true,latest implementation report,https://www.rivm.nl/en/life-cycle-assessment-lca/downloads,https://www.rivm.nl/documenten/recipe2016cfsv1120180117
35716c60-7337-4442-9f3a-42effd692b82,CML v4.8 2016,v4.8,true,latest implementation report,https://www.universiteitleiden.nl/en/research/research-projects/science/cml-new-dutch-lca-guide,https://www.universiteitleiden.nl/en/research/research-output/science/cml-ia-characterisation-factors
25583383-5a50-4fbf-9850-c9f2d57607b5,Inventory results and indicators,v3.11,true,,,
0310cf09-b06f-45ef-af69-b5a41880170d,"ReCiPe 2016 v1.03, midpoint (H)",2016 v1.03 (SimaPro),true,latest implementation report,https://www.rivm.nl/en/life-cycle-assessment-lca/downloads,https://www.rivm.nl/documenten/recipe2016cfsv1120180117
7b047a8c-f78c-4100-b733-fad9eb0ed0ce,EN15804+A2 - Indicators describing biogenic carbon content at factory gate,,true,dedicated report,,
6e67b147-f0eb-48eb-bc09-0260d78a8f59,"ReCiPe 2016 v1.03, midpoint (E) no LT",2016 v1.03 (SimaPro),true,latest implementation report,https://www.rivm.nl/en/life-cycle-assessment-lca/downloads,https://www.rivm.nl/documenten/recipe2016cfsv1120180117
