PCR,COMPANY_CODE,PROC_CATEGORY,PROC_KEY_BEFORE,PROC_CODE_BEFORE,PROC_NAME_BEFORE,PROC_KEY_AFTER,PROC_CODE_AFTER,PROC_NAME_AFTER,PRODUCT_CATEGORY,ITEM_CAT_CODE,ITEM_CODE,ITEM_NAME
CONS,TA,BOF,1YLT_80210,1YLT,炼钢厂-转炉-一转炉冶炼,1YLT_80210,1YLT,炼钢厂-转炉-一转炉冶炼,STEEL,04,80210,钢水-一转炉
CONS,TA,BF,BF02_BF022,BF02,炼铁厂-高炉-2BF,BFDL_58080,BFDL,炼铁厂-高炉-高炉TRT电,TRT,05,58080,电回收TRT电
CONS,ZG,CO_STEAM,LT04_FCAB1,LT04,炼铁厂-焦化-1#2#焦炉,COMQ_18066,COMQ,炼铁厂-焦炉-焦炉煤气,COG,05,18066,回收精制煤气
CONS,ZG,CO_STEAM,XABC_FCAC1,XABC,炼铁厂-焦化-3#焦炉,COCB_24200,COCB,炼铁厂-焦炉-粗笨,BENZOL,05,24200,粗苯
CONS,ZG,BF,LT05_X0012,LT05,炼铁厂-高炉-1BF,LT05_X0012,LT05,炼铁厂-高炉-1BF,IRON,04,X0012,生铁-铁水1
CONS,ZG,BF,LT05_X0012,LT05,炼铁厂-高炉-1BF,LTDL_58080,LTDL,炼铁厂-高炉-高炉TRT电,TRT,05,58080,回收TRT电
CONS,TA,BF,BF04_BF042,BF04,炼铁厂-高炉-4BF,BFSZ_18071,BFSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,副产品-水渣
CONS,TA,BOF,1YLT_80210,1YLT,炼钢厂-转炉-一转炉冶炼,LTLS_HZ280,LTLS,炼钢厂-转炉-低压蒸汽,STEAM,05,HZ280,回收低压蒸汽_转炉
CONS,TA,CO_STEAM,CO03_CO031,CO03,炼铁厂-焦炉-3CO,COMQ_965,COMQ,炼铁厂-焦炉-焦炉煤气,COG,05,965,精制脱硫煤气发生量
CONS,TA,CO_STEAM,CO04_CO041,CO04,炼铁厂-焦炉-4CO,COMS_HJ290,COMS,炼铁厂-焦炉-中压蒸汽,STEAM,05,HJ290,回收中压蒸汽_焦炉
CONS,TA,BOF,2YLT_80220,2YLT,炼钢厂-转炉-二转炉冶炼,2YLT_80220,2YLT,炼钢厂-转炉-二转炉冶炼,STEEL,04,80220,钢水-二转炉
CONS,TA,BF,BF02_BF022,BF02,炼铁厂-高炉-2BF,BFMQ_48080,BFMQ,炼铁厂-高炉-高炉煤气,BFG,05,48080,回收高炉煤气
CONS,TA,BF,BF04_BF042,BF04,炼铁厂-高炉-4BF,BFMQ_48080,BFMQ,炼铁厂-高炉-高炉煤气,BFG,05,48080,回收高炉煤气
CONS,ZG,CO_STEAM,LT04_FCAB1,LT04,炼铁厂-焦化-1#2#焦炉,LT04_FCAB1,LT04,炼铁厂-焦化-1#2#焦炉,COKE,04,FCAB1,焦炭-合并B
CONS,ZG,BF,LT05_X0012,LT05,炼铁厂-高炉-1BF,LTMQ_48080,LTMQ,炼铁厂-高炉-高炉煤气,BFG,05,48080,回收高炉煤气
CONS,ZG,BF,LT10_XAAC2,LT10,炼铁厂-高炉-3BF,LT10_XAAC2,LT10,炼铁厂-高炉-3BF,IRON,04,XAAC2,生铁-铁水C
CONS,ZG,CO_STEAM,LT04_FCAB1,LT04,炼铁厂-焦化-1#2#焦炉,COMS_58290,COMS,炼铁厂-焦炉-中压蒸汽,STEAM,05,58290,回收中压蒸汽
CONS,ZG,BF,LT10_XAAC2,LT10,炼铁厂-高炉-3BF,LTSZ_18071,LTSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,回收副产品-水渣
CONS,ZG,BF,LT10_XAAC2,LT10,炼铁厂-高炉-3BF,LTMQ_48080,LTMQ,炼铁厂-高炉-高炉煤气,BFG,05,48080,回收高炉煤气
CONS,TA,BF,BF04_BF042,BF04,炼铁厂-高炉-4BF,BF04_BF042,BF04,炼铁厂-高炉-4BF,IRON,04,BF042,生铁-铁水-大院4
CONS,TA,CO_STEAM,CO03_CO031,CO03,炼铁厂-焦炉-3CO,CO03_CO031,CO03,炼铁厂-焦炉-3CO,COKE,04,CO031,焦炭-合并3
CONS,TA,CO_STEAM,CO04_CO041,CO04,炼铁厂-焦炉-4CO,COTB_48090,COTB,炼铁厂-焦炉-焦油粗笨,TAR_AND_BENZOL,05,48090,回收焦油粗苯
CONS,TA,BF,BF04_BF042,BF04,炼铁厂-高炉-4BF,BFDL_58080,BFDL,炼铁厂-高炉-高炉TRT电,TRT,05,58080,电回收TRT电
CONS,ZG,CO_STEAM,XABC_FCAC1,XABC,炼铁厂-焦化-3#焦炉,COMQ_18066,COMQ,炼铁厂-焦炉-焦炉煤气,COG,05,18066,回收精制煤气
CONS,ZG,BF,LT06_X0022,LT06,炼铁厂-高炉-2BF,LT06_X0022,LT06,炼铁厂-高炉-2BF,IRON,04,X0022,生铁-铁水2
CONS,ZG,BF,LT06_X0022,LT06,炼铁厂-高炉-2BF,LTSZ_18071,LTSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,回收副产品-水渣
CONS,TA,CO_STEAM,CO04_CO041,CO04,炼铁厂-焦炉-4CO,COMQ_965,COMQ,炼铁厂-焦炉-焦炉煤气,COG,05,965,精制脱硫煤气发生量
CONS,TA,BOF,2YLT_80220,2YLT,炼钢厂-转炉-二转炉冶炼,LTLS_HZ280,LTLS,炼钢厂-转炉-低压蒸汽,STEAM,05,HZ280,回收低压蒸汽_转炉
CONS,TA,CO_STEAM,CO01_CO011,CO01,炼铁厂-焦炉-1CO,COLS_HJ280,COLS,炼铁厂-焦炉-低压蒸汽,STEAM,05,HJ280,回收低压蒸汽_焦炉
CONS,ZG,CO_STEAM,XABC_FCAC1,XABC,炼铁厂-焦化-3#焦炉,COMS_58290,COMS,炼铁厂-焦炉-中压蒸汽,STEAM,05,58290,回收中压蒸汽
CONS,TA,BOF,1YLT_80210,1YLT,炼钢厂-转炉-一转炉冶炼,LTMQ_48082,LTMQ,炼钢厂-转炉-转炉煤气,BOFG,05,48082,回收转炉煤气
CONS,TA,BF,BF03_BF032,BF03,炼铁厂-高炉-3BF,BFSZ_18071,BFSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,副产品-水渣
CONS,TA,BF,BF03_BF032,BF03,炼铁厂-高炉-3BF,BFDL_58080,BFDL,炼铁厂-高炉-高炉TRT电,TRT,05,58080,电回收TRT电
CONS,TA,BF,BF01_BF012,BF01,炼铁厂-高炉-1BF,BFDL_58080,BFDL,炼铁厂-高炉-高炉TRT电,TRT,05,58080,电回收TRT电
CONS,TA,BF,BF02_BF022,BF02,炼铁厂-高炉-2BF,BFSZ_18071,BFSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,副产品-水渣
CONS,TA,CO_STEAM,CO01_CO011,CO01,炼铁厂-焦炉-1CO,COMQ_965,COMQ,炼铁厂-焦炉-焦炉煤气,COG,05,965,精制脱硫煤气发生量
CONS,TA,CO_STEAM,CO01_CO011,CO01,炼铁厂-焦炉-1CO,COHS_HJ270,COHS,炼铁厂-焦炉-高压蒸汽,STEAM,05,HJ270,回收高压蒸汽_焦炉
CONS,ZG,CO_STEAM,XABC_FCAC1,XABC,炼铁厂-焦化-3#焦炉,XABC_FCAC1,XABC,炼铁厂-焦化-3#焦炉,COKE,04,FCAC1,焦炭-合并C
CONS,ZG,BF,LT05_X0012,LT05,炼铁厂-高炉-1BF,LTSZ_18071,LTSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,回收副产品-水渣
CONS,TA,CO_STEAM,CO03_CO031,CO03,炼铁厂-焦炉-3CO,COMS_HJ290,COMS,炼铁厂-焦炉-中压蒸汽,STEAM,05,HJ290,回收中压蒸汽_焦炉
CONS,TA,CO_STEAM,CO03_CO031,CO03,炼铁厂-焦炉-3CO,COHS_HJ270,COHS,炼铁厂-焦炉-高压蒸汽,STEAM,05,HJ270,回收高压蒸汽_焦炉
CONS,TA,BF,BF01_BF012,BF01,炼铁厂-高炉-1BF,BF01_BF012,BF01,炼铁厂-高炉-1BF,IRON,04,BF012,生铁-铁水-大院1
CONS,TA,BF,BF01_BF012,BF01,炼铁厂-高炉-1BF,BFSZ_18071,BFSZ,炼铁厂-高炉-高炉水渣,BF_SLAG,05,18071,副产品-水渣
CONS,TA,CO_STEAM,CO01_CO011,CO01,炼铁厂-焦炉-1CO,CO01_CO011,CO01,炼铁厂-焦炉-1CO,COKE,04,CO011,焦炭-合并1
CONS,TA,CO_STEAM,CO03_CO031,CO03,炼铁厂-焦炉-3CO,COLS_HJ280,COLS,炼铁厂-焦炉-低压蒸汽,STEAM,05,HJ280,回收低压蒸汽_焦炉
CONS,ZG,CO_STEAM,LT04_FCAB1,LT04,炼铁厂-焦化-1#2#焦炉,COJY_26200,COJY,炼铁厂-焦炉-焦油,TAR,05,26200,焦油
