PCR_INDICATOR_ID,PCR,INDICATOR_CODE,INDICATOR_NAME_IN_PCR,INDICATOR_CNAME_IN_PCR,INDICATOR_UNIT_IN_PCR,REFERENCE_IMPACT_INDICATOR_ID,IS_GWP_TOTAL
5d768764-9937-4036-828d-4a37274fc3d9,BASIC,HWD,Hazardous waste disposed,危险固体废弃物(HWD),kg,65a34170-e3cc-50f0-b310-c676da5beefc,false
e70a7beb-9204-415d-90c7-ea6ab8d6dfaf,CONS,GWP-biogenic,Climate change - Biogenic,全球变暖潜力(GWP100)-生物质,kg CO2 eq,dd2a79c0-42cf-46c3-a9eb-3b896e6dc7f2,false
4029d217-2618-4056-9c00-0ab65310021e,CONS,EP-freshwater,"Eutrophication, freshwater",富营养化潜力(EP)-淡水,kg P eq,9a2cb714-da62-47d9-b6f0-be51d96837cf,false
5c7824e9-bb59-4761-ba25-a5b910a54c5c,CONS,RWD,Radioactive waste disposed,放射性固体废弃物(RWD),kg,d723a672-71a2-5e59-967a-bb7d27cfe799,false
a016d9bd-06e9-4ee8-ac15-e40da822e905,BASIC,GWP-fossil,GWP100 - fossil,全球变暖潜力(GWP100)-化石能源,kg CO2 eq,035f4640-8768-44c8-8e45-a9dabd4b8441,false
527ee5c8-7673-42bc-8d8e-4a581986308c,CONS,NRSF,Use of non-renewable secondary fuels,不可再生二次燃料(NRSF),MJ (LHV),21833f58-9cb3-4a26-b0c8-bca99e33f1a3,false
ecdeec38-1670-4c94-baa2-8ce79a45f1b8,BASIC,PERM,,一次能源-可再生能源(PER)-用作原材料,MJ (LHV),40d43c22-976d-5b5d-bafe-10b207268899,false
777029b9-6175-404b-9880-a77ea7651857,CONS,AP,Acidification,酸化潜力(AP),mol H+ eq,980d21a5-ae07-4b50-a170-2e3388d8a7ea,false
84f134e6-e508-4c04-977b-489d0f85be2c,CONS,PERM,PERM,一次能源-可再生能源(PER)-用作原材料,MJ (LHV),40d43c22-976d-5b5d-bafe-10b207268899,false
bd917b19-ff4a-4ce6-986e-b51e96691b2e,CONS,PERT,PERT,一次能源-可再生能源(PER)-合计,MJ (LHV),27d59a4d-8dd9-5596-b597-d64bf9fb04bb,false
8c07714c-de15-4630-862a-fe434f5184ce,CONS,EEE,Exported energy - electricity,输出的能量(EE)-电力,MJ,c8f966d4-db21-580f-983d-6137ef76b9d8,false
d27ea770-6e06-44f7-b71a-64e8ff88ed0c,BASIC,ODP,Ozone layer depletion (ODP),平流层臭氧层消耗潜力(ODP),kg CFC-11 eq,b6647543-8832-4c2f-af46-75927f851c05,false
5d0052cd-7488-44c5-954b-f3ec0508c810,BASIC,GWP-total,GWP100 - total,全球变暖潜力(GWP100)-合计,kg CO2 eq,87d85ddc-eeb7-4c46-bdb2-4ad5fdb0e6b1,true
d1aa22f8-3986-4d11-9803-47824af8a33a,BASIC,SM,Use of secondary material,二次材料利用量(SM),kg,693780c7-a787-53dc-978e-93419284eaf1,false
c0ae832a-5add-43ec-bafa-46f7b18ace07,BASIC,ADPE,Abiotic depletion,非生物资源资源耗竭潜力(ADP)-矿物元素,kg Sb eq,f9a48cde-8ca6-426a-8b6c-d55e529566f8,false
11b36155-8818-4d37-b3e2-4eaed778d427,CONS,GWP-total,Climate change - Total,全球变暖潜力(GWP100)-合计,kg CO2 eq,c953f95b-9d3b-4574-aa1c-6fd8498540e7,true
527307ea-a4b7-4472-b61a-b82c40b78503,CONS,EP-terrestrial,"Eutrophication, terrestrial",富营养化潜力(EP)-陆地,mol N eq,a7499ad9-7843-442d-a03c-3bb31c9f2997,false
a6b9b188-3c8e-4df1-9686-024140a759de,CONS,PERE,PERE,一次能源-可再生能源(PER)-用作能量载体,MJ (LHV),597d24fc-b43b-54f2-a964-2f2f688b1b51,false
d0935899-4503-4942-b224-33faaf5996ac,BASIC,ETP-terrestrial,Terrestrial ecotoxicity,生态毒性(ETP)-陆地,"kg 1,4-DB eq",15aa9cec-9211-40fa-b6cf-014e7ff73bd4,false
c017b0e4-1a3d-4abf-8b03-b07f8f62d73e,BASIC,POCP,Photochemical oxidation,对流层臭氧生成潜力(POCP),kg C2H4 eq,a377c6b5-3b02-43fc-8038-c35c573e17d4,false
52ee9c90-83fc-4f63-b4db-0f3084234284,CONS,PM,Particulate matter,颗粒物(PM),disease inc.,e097169b-8428-418e-a8af-dc68f9f917df,false
0d205fbb-8c0f-44b7-8095-e8092fa2ec78,CONS,EE,Exported energy,输出的能量(EE),MJ,3113339f-48f2-52ec-ac7b-5913bfb91197,false
be745c27-1988-41a6-826a-59f5d5712eb9,CONS,PENRT,PENRT,一次能源-不可再生能源(PENR)-合计,MJ (LHV),5307ee96-601d-5d3c-9bd0-e2f388928160,false
b9af5d3a-c871-4bc7-8ca6-ea006d6e1db7,CONS,IRP,Ionising radiation,电离辐射(IRP),kBq U-235 eq,e0a1302f-c915-4d3d-8173-6e930a485cbe,false
42825e83-4239-4945-b0ea-f21f05d7895b,BASIC,EP,Eutrophication,富营养化潜力(EP),kg PO4 eq,36a9b35e-9698-4efc-a602-5f582666f069,false
c4caca52-16ca-450a-8a5a-f3a9f4e36a3b,BASIC,AP,Acidification,酸化潜力(AP),kg SO2 eq,bfbecdfe-7374-4c10-9fe7-c886fdd1978d,false
6def0551-dcfe-4c65-8d87-731cecb33f41,BASIC,PENRE,Non-renewable,一次能源-不可再生能源(PENR)-用作能量载体,MJ (LHV),2aff4284-d2cf-5102-8c6b-618505125cea,false
8cb5743d-377b-454c-926f-91b9354fc1a7,BASIC,GWP-biogenic,GWP100 - biogenic,全球变暖潜力(GWP100)-生物质,kg CO2 eq,1423407a-76e4-4eb9-ace9-480d24b1e8b2,false
